------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4082  |     0.7207  |   0.6861  |               |              7.8137  |
|          |      1  |      1.2617  |     0.8066  |   0.7491  |               |              8.2265  |
|          |      2  |      1.2100  |     0.8438  |   0.7856  |               |              8.6385  |
|          |      3  |      1.1504  |     0.8740  |   0.7763  |               |              9.0215  |
|          |      4  |      1.1826  |     0.8438  |   0.8360  |               |              9.4003  |
|          |      5  |      1.1436  |     0.8643  |   0.8162  |               |              9.7835  |
|          |      6  |      1.0957  |     0.8936  |   0.8684  |               |             10.1631  |
|          |      7  |      1.0898  |     0.8857  |   0.8633  |               |             10.5424  |
|          |      8  |      1.0293  |     0.9287  |   0.8846  |               |             10.9243  |
|          |      9  |      1.0195  |     0.9248  |   0.9071  |               |             11.3051  |
|          |     10  |      0.9893  |     0.9502  |   0.9124  |               |             11.6860  |
|          |     11  |      0.9399  |     0.9824  |   0.9307  |               |             12.0664  |
|          |     12  |      0.9155  |     0.9932  |   0.9351  |               |             12.4470  |
|          |   eval  |      0.9155  |     0.9932  |   0.9351  |       0.9421  |             12.5035  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4277  |     0.6943  |   0.6769  |               |              0.5030  |
|          |      1  |      1.2666  |     0.8115  |   0.7953  |               |              0.9174  |
|          |      2  |      1.2578  |     0.8066  |   0.7106  |               |              1.3329  |
|          |      3  |      1.1768  |     0.8584  |   0.8172  |               |              1.7137  |
|          |      4  |      1.1465  |     0.8672  |   0.7873  |               |              2.0955  |
|          |      5  |      1.0938  |     0.8965  |   0.8399  |               |              2.4760  |
|          |      6  |      1.0928  |     0.8955  |   0.8577  |               |              2.8565  |
|          |      7  |      1.0742  |     0.9043  |   0.8504  |               |              3.2394  |
|          |      8  |      1.0674  |     0.9014  |   0.8839  |               |              3.6193  |
|          |      9  |      1.0098  |     0.9414  |   0.9154  |               |              4.0010  |
|          |     10  |      0.9888  |     0.9541  |   0.9146  |               |              4.3818  |
|          |     11  |      0.9346  |     0.9814  |   0.9313  |               |              4.7627  |
|          |     12  |      0.9341  |     0.9766  |   0.9354  |               |              5.1427  |
|          |   eval  |      0.9341  |     0.9766  |   0.9354  |       0.9437  |              5.1987  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4141  |     0.7314  |   0.6923  |               |              0.4169  |
|          |      1  |      1.2588  |     0.8135  |   0.7719  |               |              0.8306  |
|          |      2  |      1.2129  |     0.8271  |   0.6441  |               |              1.2458  |
|          |      3  |      1.2100  |     0.8193  |   0.8236  |               |              1.6267  |
|          |      4  |      1.1543  |     0.8604  |   0.8259  |               |              2.0087  |
|          |      5  |      1.1289  |     0.8750  |   0.8294  |               |              2.3880  |
|          |      6  |      1.0986  |     0.8906  |   0.8561  |               |              2.7695  |
|          |      7  |      1.0957  |     0.8955  |   0.8455  |               |              3.1506  |
|          |      8  |      1.0576  |     0.9141  |   0.8928  |               |              3.5313  |
|          |      9  |      1.0400  |     0.9160  |   0.9132  |               |              3.9127  |
|          |     10  |      0.9800  |     0.9561  |   0.9142  |               |              4.2932  |
|          |     11  |      0.9375  |     0.9795  |   0.9314  |               |              4.6738  |
|          |     12  |      0.9180  |     0.9902  |   0.9350  |               |              5.0544  |
|          |   eval  |      0.9180  |     0.9902  |   0.9350  |       0.9408  |              5.1102  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4453  |     0.7061  |   0.6862  |               |              0.4872  |
|          |      1  |      1.2910  |     0.7832  |   0.6761  |               |              0.9001  |
|          |      2  |      1.2383  |     0.8154  |   0.7624  |               |              1.3167  |
|          |      3  |      1.1592  |     0.8691  |   0.8222  |               |              1.6987  |
|          |      4  |      1.1289  |     0.8760  |   0.7924  |               |              2.0800  |
|          |      5  |      1.1104  |     0.8867  |   0.8496  |               |              2.4622  |
|          |      6  |      1.0879  |     0.8975  |   0.8626  |               |              2.8432  |
|          |      7  |      1.0820  |     0.8945  |   0.8617  |               |              3.2250  |
|          |      8  |      1.0322  |     0.9258  |   0.8853  |               |              3.6065  |
|          |      9  |      1.0244  |     0.9297  |   0.9154  |               |              3.9903  |
|          |     10  |      0.9775  |     0.9521  |   0.9157  |               |              4.3712  |
|          |     11  |      0.9434  |     0.9766  |   0.9316  |               |              4.7543  |
|          |     12  |      0.9297  |     0.9785  |   0.9373  |               |              5.1352  |
|          |   eval  |      0.9297  |     0.9785  |   0.9373  |       0.9424  |              5.1915  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4424  |     0.7061  |   0.6290  |               |              0.4172  |
|          |      1  |      1.2539  |     0.8105  |   0.7655  |               |              0.8296  |
|          |      2  |      1.2480  |     0.8174  |   0.7723  |               |              1.2482  |
|          |      3  |      1.2236  |     0.8154  |   0.7062  |               |              1.6301  |
|          |      4  |      1.1455  |     0.8662  |   0.8225  |               |              2.0130  |
|          |      5  |      1.1162  |     0.8857  |   0.8425  |               |              2.3938  |
|          |      6  |      1.1025  |     0.8916  |   0.8580  |               |              2.7763  |
|          |      7  |      1.0811  |     0.9023  |   0.8605  |               |              3.1576  |
|          |      8  |      1.0635  |     0.9141  |   0.8871  |               |              3.5388  |
|          |      9  |      1.0137  |     0.9365  |   0.9137  |               |              3.9222  |
|          |     10  |      0.9868  |     0.9492  |   0.9166  |               |              4.3033  |
|          |     11  |      0.9404  |     0.9795  |   0.9303  |               |              4.6856  |
|          |     12  |      0.9253  |     0.9893  |   0.9362  |               |              5.0684  |
|          |   eval  |      0.9253  |     0.9893  |   0.9362  |       0.9416  |              5.1243  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4873  |     0.6855  |   0.6410  |               |              0.4175  |
|          |      1  |      1.2637  |     0.8154  |   0.7398  |               |              0.8309  |
|          |      2  |      1.2441  |     0.8047  |   0.7564  |               |              1.2492  |
|          |      3  |      1.1777  |     0.8467  |   0.7941  |               |              1.6306  |
|          |      4  |      1.1768  |     0.8311  |   0.7973  |               |              2.0138  |
|          |      5  |      1.1367  |     0.8799  |   0.7581  |               |              2.3961  |
|          |      6  |      1.1123  |     0.8809  |   0.8602  |               |              2.7780  |
|          |      7  |      1.0732  |     0.9053  |   0.8822  |               |              3.1596  |
|          |      8  |      1.0303  |     0.9248  |   0.8877  |               |              3.5412  |
|          |      9  |      1.0205  |     0.9346  |   0.9200  |               |              3.9245  |
|          |     10  |      0.9731  |     0.9590  |   0.9164  |               |              4.3053  |
|          |     11  |      0.9526  |     0.9688  |   0.9331  |               |              4.6877  |
|          |     12  |      0.9272  |     0.9805  |   0.9380  |               |              5.0699  |
|          |   eval  |      0.9272  |     0.9805  |   0.9380  |       0.9424  |              5.1260  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4521  |     0.6826  |   0.6875  |               |              0.5013  |
|          |      1  |      1.2500  |     0.8184  |   0.7417  |               |              0.9155  |
|          |      2  |      1.2510  |     0.8086  |   0.7579  |               |              1.3342  |
|          |      3  |      1.2305  |     0.8154  |   0.7316  |               |              1.7159  |
|          |      4  |      1.1543  |     0.8525  |   0.7983  |               |              2.0993  |
|          |      5  |      1.1191  |     0.8740  |   0.8321  |               |              2.4800  |
|          |      6  |      1.0859  |     0.8975  |   0.8592  |               |              2.8629  |
|          |      7  |      1.0918  |     0.8867  |   0.8575  |               |              3.2454  |
|          |      8  |      1.0537  |     0.9219  |   0.8777  |               |              3.6267  |
|          |      9  |      1.0146  |     0.9365  |   0.9150  |               |              4.0111  |
|          |     10  |      0.9863  |     0.9512  |   0.9178  |               |              4.3926  |
|          |     11  |      0.9482  |     0.9658  |   0.9325  |               |              4.7757  |
|          |     12  |      0.9150  |     0.9922  |   0.9358  |               |              5.1583  |
|          |   eval  |      0.9150  |     0.9922  |   0.9358  |       0.9442  |              5.2146  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4268  |     0.7061  |   0.6589  |               |              0.5028  |
|          |      1  |      1.2441  |     0.8203  |   0.7652  |               |              0.9174  |
|          |      2  |      1.2383  |     0.8125  |   0.7325  |               |              1.3352  |
|          |      3  |      1.1572  |     0.8672  |   0.7138  |               |              1.7159  |
|          |      4  |      1.1455  |     0.8691  |   0.7529  |               |              2.1027  |
|          |      5  |      1.1250  |     0.8789  |   0.8434  |               |              2.4834  |
|          |      6  |      1.1035  |     0.8838  |   0.8454  |               |              2.8664  |
|          |      7  |      1.0928  |     0.8887  |   0.8472  |               |              3.2501  |
|          |      8  |      1.0225  |     0.9385  |   0.8832  |               |              3.6309  |
|          |      9  |      1.0332  |     0.9307  |   0.9177  |               |              4.0161  |
|          |     10  |      0.9844  |     0.9492  |   0.9153  |               |              4.3971  |
|          |     11  |      0.9497  |     0.9697  |   0.9319  |               |              4.7803  |
|          |     12  |      0.9224  |     0.9873  |   0.9367  |               |              5.1638  |
|          |   eval  |      0.9224  |     0.9873  |   0.9367  |       0.9435  |              5.2197  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.3975  |     0.7402  |   0.7045  |               |              0.5016  |
|          |      1  |      1.2764  |     0.7861  |   0.7091  |               |              0.9158  |
|          |      2  |      1.2734  |     0.8105  |   0.7139  |               |              1.3344  |
|          |      3  |      1.1885  |     0.8369  |   0.7728  |               |              1.7159  |
|          |      4  |      1.1318  |     0.8750  |   0.7689  |               |              2.1010  |
|          |      5  |      1.1230  |     0.8799  |   0.8009  |               |              2.4833  |
|          |      6  |      1.0898  |     0.8867  |   0.8447  |               |              2.8667  |
|          |      7  |      1.0742  |     0.9092  |   0.8641  |               |              3.2516  |
|          |      8  |      1.0459  |     0.9189  |   0.8839  |               |              3.6333  |
|          |      9  |      1.0430  |     0.9209  |   0.9108  |               |              4.0166  |
|          |     10  |      0.9868  |     0.9531  |   0.9131  |               |              4.3991  |
|          |     11  |      0.9404  |     0.9727  |   0.9281  |               |              4.7820  |
|          |     12  |      0.9253  |     0.9824  |   0.9347  |               |              5.1648  |
|          |   eval  |      0.9253  |     0.9824  |   0.9347  |       0.9398  |              5.2214  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4736  |     0.6787  |   0.6826  |               |              0.5057  |
|          |      1  |      1.2598  |     0.8047  |   0.7830  |               |              0.9188  |
|          |      2  |      1.2471  |     0.8232  |   0.6961  |               |              1.3375  |
|          |      3  |      1.1602  |     0.8613  |   0.7500  |               |              1.7180  |
|          |      4  |      1.1348  |     0.8691  |   0.8410  |               |              2.1042  |
|          |      5  |      1.1074  |     0.8926  |   0.8472  |               |              2.4854  |
|          |      6  |      1.0771  |     0.9014  |   0.8521  |               |              2.8675  |
|          |      7  |      1.0928  |     0.8945  |   0.8575  |               |              3.2498  |
|          |      8  |      1.0391  |     0.9219  |   0.8871  |               |              3.6318  |
|          |      9  |      1.0273  |     0.9346  |   0.9136  |               |              4.0165  |
|          |     10  |      0.9692  |     0.9648  |   0.9172  |               |              4.3982  |
|          |     11  |      0.9312  |     0.9844  |   0.9297  |               |              4.7818  |
|          |     12  |      0.9268  |     0.9834  |   0.9333  |               |              5.1653  |
|          |   eval  |      0.9268  |     0.9834  |   0.9333  |       0.9413  |              5.2216  |
------------------------------------------------------------------------------------------------------
